"Parser",,,,,,,,,,,,
,"ID","festival-intrepid-summer-movie-series-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Intrepid Summer Movie Series",,,,,,,,,,
,"Merge Key","intrepid-summer-movie-series",,,,,,,,,,
,"Season Merge Key","intrepid-summer-movie-series-2011",,,,,,,,,,
,"Season Start Date","05/27/2011",,,,,,,,,,
,"Season End Date","08/19/2011",,,,,,,,,,
,"Season URL","http://www.intrepidmuseum.org/Summer-Movie-Series.aspx",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","Intrepid Museum",,,,,,,,,,
,"Address","W 46th St and 12th Ave, New York",,,,,,,,,,
,"City","manhattan",,,,,,,,,,
,"Neighborhood","above-14th-street",,,,,,,,,,
,"Lat",40.7642537,,,,,,,,,,
,"Long",-73.99851039999999,,,,,,,,,,
,"URL","http://www.intrepidmuseum.org/",,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"top-gun","05/27/2011",,"Top Gun","08:00:00 PM","7:30pm","Intrepid Museum","http://www.intrepidmuseum.org/",,"http://www.intrepidmuseum.org/Summer-Movie-Series.aspx","http://images.starpulse.com/Photos/Previews/Top-Gun-movie-03.jpg",
,"spiderman","06/24/2011",,"Spiderman","08:00:00 PM","7:30pm","Intrepid Museum","http://www.intrepidmuseum.org/",,"http://www.intrepidmuseum.org/Summer-Movie-Series.aspx","http://ia.media-imdb.com/images/M/MV5BMTI0MDY5NzA5NF5BMl5BanBnXkFtZTYwMDM3NTY3._V1._SX485_SY328_.jpg",
,"The-goonies","07/08/2011",,"The Goonies","08:00:00 PM","7:30pm","Intrepid Museum","http://www.intrepidmuseum.org/",,"http://www.intrepidmuseum.org/Summer-Movie-Series.aspx","http://ia.media-imdb.com/images/M/MV5BMTU1NzA4MzUxMF5BMl5BanBnXkFtZTcwMDU4NDIwNA@@._V1._SX640_SY430_.jpg",
,"back-to-the-future","07/22/2011",,"Back to the Future","08:00:00 PM","7:30pm","Intrepid Museum","http://www.intrepidmuseum.org/",,"http://www.intrepidmuseum.org/Summer-Movie-Series.aspx","http://jritchie.files.wordpress.com/2009/04/back-to-the-future1.jpg",
,"et","08/05/2011",,"E.T. The Extra-Terrestrial","08:00:00 PM","7:30pm","Intrepid Museum","http://www.intrepidmuseum.org/",,"http://www.intrepidmuseum.org/Summer-Movie-Series.aspx","http://ia.media-imdb.com/images/M/MV5BMTQ0ODA4Nzg2M15BMl5BanBnXkFtZTYwNjI5ODQ3._V1._SX473_SY307_.jpg",
,"jurassic-park","08/19/2011",,"Jurassic Park","08:00:00 PM","7:30pm","Intrepid Museum","http://www.intrepidmuseum.org/",,"http://www.intrepidmuseum.org/Summer-Movie-Series.aspx","http://furiousfanboys.com/wp-content/uploads/2010/06/jurassicpark.jpg",
